CWC ID Number,Other ID Number,Collection Date,Site,Latitude,Longitude ,Habitat/Location (measurements in meters indicate distance from marsh edge),Gear,Node Group,Node Code,Common Name,Scientific Name,n,Total Length (mm),Fork Length (mm),Carapace width (mm),Weight (grams),Sex,Tissue Collected,Collection Notes
CWC0149,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Shrimp, grass",Grass shrimp,Grass shrimp,Palaemonetes pugio,15,na,na,na,na,na,muscle,
CWC0150,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Shrimp, grass",Grass shrimp,Grass shrimp,Palaemonetes pugio,15,na,na,na,na,na,muscle,
CWC0151,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Shrimp, grass",Grass shrimp,Grass shrimp,Palaemonetes pugio,15,na,na,na,na,na,muscle,
CWC0152,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Shrimp, grass",Grass shrimp,Grass shrimp,Palaemonetes pugio,15,na,na,na,na,na,muscle,
CWC0153,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Shrimp, grass",Grass shrimp,Grass shrimp,Palaemonetes pugio,15,na,na,na,na,na,muscle,
CWC0154,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Crabs, blue",Blue crabs,Blue crab,Callinectes sapidus,1,na,na,31,na,na,muscle,
CWC0155,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Crabs, blue",Blue crabs,Blue crab,Callinectes sapidus,1,na,na,22,na,na,muscle,
CWC0156,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Crabs, blue",Blue crabs,Blue crab,Callinectes sapidus,1,na,na,43,na,na,muscle,
CWC0157,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, benthivorous",Benth. fish,Hardhead catfish,Arius felis,1,235,na,na,na,na,muscle and stomach,
CWC0158,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,168,na,na,na,na,muscle and stomach,
CWC0159,na,May 2015,PS5,29.449130°,-89.749237°,edge,Hand,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,3,na,na,na,na,na,muscle,
CWC0160,na,May 2015,PS5,29.449130°,-89.749237°,edge,na,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,3,na,na,na,na,na,muscle,
CWC0161,na,May 2015,PS5,29.449130°,-89.749237°,edge,na,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,4,na,na,na,na,na,muscle,
CWC0162,na,May 2015,PS5,29.449130°,-89.749237°,edge,na,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,6,na,na,na,na,na,muscle,
CWC0163,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1 to 2,na,na,na,na,na,muscle,
CWC0164,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1 to 2,na,na,na,na,na,muscle,
CWC0165,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1 to 2,na,na,na,na,na,muscle,
CWC0166,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1 to 2,na,na,na,na,na,muscle,
CWC0167,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1 to 2,na,na,na,na,na,muscle,
CWC0168,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1 to 2,na,na,na,na,na,muscle,
CWC0169,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, benthivorous",Benth. fish,Hardhead catfish,Arius felis,1,292,na,na,na,na,muscle and stomach,
CWC0170,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, benthivorous",Benth. fish,Hardhead catfish,Arius felis,1,281,na,na,na,na,muscle and stomach,
CWC0171,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, benthivorous",Benth. fish,Hardhead catfish,Arius felis,1,276,na,na,na,na,muscle and stomach,
CWC0172,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, benthivorous",Benth. fish,Hardhead catfish,Arius felis,1,316,na,na,na,na,muscle and stomach,
CWC0173,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Crabs, blue",Blue crabs,Blue crab,Callinectes sapidus,1,na,na,105,na,na,whole body,vacuumed sealed
CWC0174,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,80,na,na,na,na,muscle,
CWC0175,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,86,na,na,na,na,muscle,
CWC0176,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,112,na,na,na,na,muscle,
CWC0178,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, pelagic, omnivorous",Pelg. omn. fish,Gulf menhaden,Brevoortia patronus,na,na,na,na,na,na,whole body,vacuumed sealed
CWC0179,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Crabs, blue",Blue crabs,Blue crab,Callinectes sapidus,1,na,na,22,na,na,muscle,
CWC0180,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Crabs, blue",Blue crabs,Blue crab,Callinectes sapidus,1,na,na,77,na,na,whole body,vacuumed sealed
CWC0181,na,May 2015,PS5,29.449130°,-89.749237°,edge,na,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,na,na,na,na,na,na,whole body,vacuumed sealed
CWC0182,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,3,na,na,na,na,na,muscle,
CWC0183,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,3,na,na,na,na,na,muscle,
CWC0184,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,3,na,na,na,na,na,muscle,
CWC0185,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,3,na,na,na,na,na,muscle,
CWC0186,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,3,na,na,na,na,na,muscle,
CWC0187,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,3,na,na,na,na,na,muscle,
CWC0188,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,2,na,na,na,na,na,muscle,
CWC0189,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,2,na,na,na,na,na,muscle,
CWC0190,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,2,na,na,na,na,na,muscle,
CWC0191,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,2,na,na,na,na,na,muscle,
CWC0192,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,1,na,na,na,na,na,muscle,
CWC0193,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,3,na,na,na,na,na,muscle,
CWC0194,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Fish, marsh, detritivorous",Marsh detr. fish,Striped mullet,Mugil cephalus,1,290,na,na,na,na,muscle,
CWC0195,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Fish, marsh, detritivorous",Marsh detr. fish,Striped mullet,Mugil cephalus,1,275,na,na,na,na,muscle,
CWC0196,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Fish, pelagic, omnivorous",Pelg. omn. fish,Gulf menhaden,Brevoortia patronus,1,187,na,na,na,na,muscle,
CWC0197,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Fish, pelagic, omnivorous",Pelg. omn. fish,Gulf menhaden,Brevoortia patronus,1,202,na,na,na,na,muscle,
CWC0198,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Fish, pelagic, omnivorous",Pelg. omn. fish,Gulf menhaden,Brevoortia patronus,1,162,na,na,na,na,muscle,
CWC0199,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Fish, pelagic, omnivorous",Pelg. omn. fish,Gulf menhaden,Brevoortia patronus,1,165,na,na,na,na,muscle,
CWC0200,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,162,na,na,na,na,muscle and stomach,
CWC0201,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,174,na,na,na,na,muscle and stomach,
CWC0202,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Fish, benthivorous",Benth. fish,Atlantic croaker,Micropogonias undulatus,1,210,na,na,na,na,muscle and stomach,
CWC0203,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Fish, benthivorous",Benth. fish,Hardhead catfish,Arius felis,1,365,na,na,na,na,muscle and stomach,
CWC0204,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,69,na,na,na,na,muscle,
CWC0205,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,79,na,na,na,na,muscle,
CWC0206,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,93,na,na,na,na,muscle,
CWC0207,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, benthivorous",Benth. fish,Atlantic croaker,Micropogonias undulatus,1,95,na,na,na,na,whole body,vacuumed sealed
CWC0208,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,71,na,na,na,na,whole body,vacuumed sealed
CWC0209,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,30-40,na,na,na,na,na,whole body,vacuumed sealed
CWC0212,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,30-40,na,na,na,na,na,whole body,vacuumed sealed
CWC0213,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Crabs, fiddler",Fidl. crabs,Fiddler crab,Uca longisignalis,6,na,na,na,na,na,muscle,claws 
CWC0214,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Crabs, fiddler",Fidl. crabs,Fiddler crab,Uca longisignalis,6,na,na,na,na,na,muscle,claws 
CWC0215,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Crabs, fiddler",Fidl. crabs,Fiddler crab,Uca longisignalis,6,na,na,na,na,na,muscle,claws 
CWC0216,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Crabs, fiddler",Fidl. crabs,Fiddler crab,Uca longisignalis,6,na,na,na,na,na,muscle,claws 
CWC0217,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, marsh, carnivorous",Marsh carn. fish,Gulf killifish,Fundulus grandis,1,91,na,na,na,na,whole body,vacuumed sealed
CWC0218,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, marsh, carnivorous",Marsh carn. fish,Gulf killifish,Fundulus grandis,1,46,na,na,na,na,whole body,vacuumed sealed
CWC0219,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, marsh, carnivorous",Marsh carn. fish,Gulf killifish,Fundulus grandis,1,65,na,na,na,na,whole body,vacuumed sealed
CWC0220,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, marsh, detritivorous",Marsh detr. fish,Striped mullet,Mugil cephalus,1,65,na,na,na,na,muscle,
CWC0221,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, marsh, detritivorous",Marsh detr. fish,Striped mullet,Mugil cephalus,1,50,na,na,na,na,muscle,
CWC0222,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, invertivorous",Invert. fish,Pinfish,Lagodon rhomboides,1,78,na,na,na,na,muscle,
CWC0223,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, invertivorous",Invert. fish,Pinfish,Lagodon rhomboides,1,75,na,na,na,na,muscle,
CWC0224,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, invertivorous",Invert. fish,Pinfish,Lagodon rhomboides,1,72,na,na,na,na,muscle,
CWC0225,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, invertivorous",Invert. fish,Pinfish,Lagodon rhomboides,1,73,na,na,na,na,muscle,
CWC0226,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Snails, detritivorous",Detr. snail,Coffee bean snail,Melampus coffeus,4,na,na,na,na,na,muscle,"back, small creek"
CWC0227,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,5,na,na,na,na,na,muscle,
CWC0228,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,5,na,na,na,na,na,muscle,
CWC0229,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Snails, detritivorous",Detr. snail,Coffee bean snail,Melampus coffeus,12,na,na,na,na,na,muscle,
CWC0230,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, invertivorous",Invert. fish,Pinfish,Lagodon rhomboides,1,77,na,na,na,na,muscle,
CWC0231,na,May 2015,PS5,29.449130°,-89.749237°,creek,Gill net,"Fish, benthivorous",Benth. fish,Gizzard shad,Dorosoma cepedianum,1,165,na,na,na,na,whole body,
CWC0232,na,May 2015,PS6,29.445383°,-89.875033°,edge,na,"Fish, benthivorous",Benth. fish,Hardhead catfish,Arius felis,1,267,na,na,na,na,muscle and stomach,
CWC0233,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Snails, detritivorous",Detr. snail,Coffee bean snail,Melampus coffeus,12,na,na,na,na,na,muscle,
CWC0234,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Snails, detritivorous",Detr. snail,Coffee bean snail,Melampus coffeus,12,na,na,na,na,na,muscle,
CWC0235,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Snails, detritivorous",Detr. snail,Coffee bean snail,Melampus coffeus,12,na,na,na,na,na,muscle,
CWC0236,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Snails, detritivorous",Detr. snail,Coffee bean snail,Melampus coffeus,12,na,na,na,na,na,muscle,
CWC0237,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Snails, detritivorous",Detr. snail,Coffee bean snail,Melampus coffeus,12,na,na,na,na,na,muscle,
CWC0238,na,May 2015,PS7,29.474614°,-89.855600°,20+ m,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,10,na,na,na,na,na,muscle,"on the marsh surface, more than 20m from the edge"
CWC0239,na,May 2015,PS7,29.474614°,-89.855600°,20+ m,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,10,na,na,na,na,na,muscle,
CWC0240,na,May 2015,PS7,29.474614°,-89.855600°,20+ m,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,10,na,na,na,na,na,muscle,
CWC0241,na,May 2015,PS7,29.474614°,-89.855600°,10 m,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,10,na,na,na,na,na,muscle,
CWC0242,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Crabs, fiddler",Fidl. crabs,Fiddler crab,Uca longisignalis,30,na,na,na,na,na,whole body,vacuum sealed nd declawed
CWC0243,na,May 2015,PS5,29.449130°,-89.749237°,edge,na,"Crabs, fiddler",Fidl. crabs,Fiddler crab (plus other),Uca spp and other,15,na,na,na,na,na,whole body,vacuum sealed and assorted
CWC0244,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Crabs, hermit",Herm. crabs,Hermit crabs (assorted),na,10,na,na,na,na,na,whole body,vacuum sealed and assorted
CWC0245,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,10,na,na,na,na,na,muscle,
CWC0246,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,10,na,na,na,na,na,muscle,
CWC0247,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,10,na,na,na,na,na,muscle,
CWC0248,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, marsh, carnivorous",Marsh carn. fish,Gulf killifish,Fundulus grandis,1,87,na,na,na,na,muscle and stomach,
CWC0249,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, marsh, carnivorous",Marsh carn. fish,Gulf killifish,Fundulus grandis,1,87,na,na,na,na,muscle,
CWC0250,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, marsh, carnivorous",Marsh carn. fish,Gulf killifish,Fundulus grandis,1,74,na,na,na,na,muscle,
CWC0251,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, marsh, carnivorous",Marsh carn. fish,Gulf killifish,Fundulus grandis,1,~70,na,na,na,na,muscle,
CWC0252,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, marsh, carnivorous",Marsh carn. fish,Gulf killifish,Fundulus grandis,1,64,na,na,na,na,muscle,
CWC0253,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Snails, detritivorous",Detr. snail,Coffee bean snail,Melampus coffeus,na,na,na,na,na,na,whole body,vaccumed sealed
CWC0254,na,May 2015,PS7,29.474614°,-89.855600°,10 m,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,10,na,na,na,na,na,muscle,
CWC0255,na,May 2015,PS7,29.474614°,-89.855600°,10 m,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,10,na,na,na,na,na,muscle,
CWC0256,na,May 2015,PS7,29.474614°,-89.855600°,Juncus,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,10,na,na,na,na,na,muscle,
CWC0257,na,May 2015,PS7,29.474614°,-89.855600°,Juncus,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,10,na,na,na,na,na,muscle,
CWC0258,na,May 2015,PS7,29.474614°,-89.855600°,Juncus,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,10,na,na,na,na,na,muscle,
CWC0259,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, marsh, carnivorous",Marsh carn. fish,Gulf killifish,Fundulus grandis,1,71,na,na,na,na,whole body,
CWC0260,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, marsh, detritivorous",Marsh detr. fish,Striped mullet,Mugil cephalus,1,136,na,na,na,na,whole body,vacuumed sealed
CWC0261,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, marsh, detritivorous",Marsh detr. fish,Striped mullet,Mugil cephalus,1,141,na,na,na,na,whole body,vacuumed sealed
CWC0262,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,61,na,na,na,na,whole body,vacuumed sealed
CWC0263,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, marsh, carnivorous",Marsh carn. fish,Gulf killifish,Fundulus grandis,20,na,na,na,na,na,whole body,vacuumed sealed
CWC0264,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,50+,na,na,na,na,na,whole body,vacuumed sealed
CWC0265,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,70,na,na,na,na,whole body,vacuumed sealed
CWC0266,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,76,na,na,na,na,whole body,vacuumed sealed
CWC0267,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,73,na,na,na,na,whole body,vacuumed sealed
CWC0268,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Shrimp, grass",Grass shrimp,Grass shrimp,Palaemonetes pugio,10,na,na,na,na,na,muscle,
CWC0269,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Shrimp, grass",Grass shrimp,Grass shrimp,Palaemonetes pugio,10,na,na,na,na,na,muscle,
CWC0270,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Shrimp, grass",Grass shrimp,Grass shrimp,Palaemonetes pugio,10,na,na,na,na,na,muscle,
CWC0271,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Shrimp, grass",Grass shrimp,Grass shrimp,Palaemonetes pugio,10,na,na,na,na,na,muscle,
CWC0272,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,10,na,na,na,na,na,whole body,vaccumed sealed
CWC0273,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, piscivorous",Pisc. fish,Ladyfish,Elops saurus,20,na,na,na,na,na,whole body,vaccumed sealed
CWC0274,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, benthivorous",Benth. fish,Atlantic croaker,Micropogonias undulatus,1,84,na,na,na,na,whole body,"vaccumed sealed, frozen in May and dissected in December 2015"
CWC0275,na,May 2015,PS7,29.474614°,-89.855600°,Juncus,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,15,na,na,na,na,na,whole body,vaccumed sealed
CWC0276,na,May 2015,PS7,29.474614°,-89.855600°,10 m,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,20+,na,na,na,na,na,whole body,vaccumed sealed
CWC0277,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, carnivorous",Carn. fish,Sand seatrout/White trout,Cynoscion arenarius,12,na,na,na,na,na,whole body,vaccumed sealed
CWC0278,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, zooplanktivorous",Zoop. fish,Bay anchovy,Anchoa mitchelli,~10,na,na,na,na,na,whole body,vaccumed sealed
CWC0279,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, invertivorous",Invert. fish,Pinfish,Lagodon rhomboides,2,na,na,na,na,na,whole body,vaccumed sealed
CWC0280,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Fish, marsh, omnivorous",Marsh omn. fish,Diamond killifish,Fundulus xenicus,4,na,na,na,na,na,whole body,vaccumed sealed
CWC0282,na,May 2015,PS7,29.474614°,-89.855600°,20+ m,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,30+,na,na,na,na,na,whole body,vaccumed sealed
CWC0283,na,May 2015,PS7,29.474614°,-89.855600°,20+ m,na,"Snails, detritivorous",Detr. snail,Olive nerite,Neritina usnea,5,na,na,na,na,na,muscle,
CWC0284,na,May 2015,PS7,29.474614°,-89.855600°,Juncus,na,UNKNOWN,UNK,Snails (assorted),na,5,na,na,na,na,na,whole body,vacuumed sealed
CWC0285,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,80+,na,na,na,na,muscle,
CWC0286,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,80+,na,na,na,na,muscle,
CWC0287,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,80+,na,na,na,na,muscle,
CWC0288,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,80+,na,na,na,na,muscle,
CWC0289,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,80+,na,na,na,na,muscle,
CWC0290,na,May 2015,PS5,29.449130°,-89.749237°,edge,na,"Crabs, blue",Blue crabs,Blue crab,Callinectes sapidus,1,20,na,na,na,na,muscle,
CWC0291,na,May 2015,PS5,29.449130°,-89.749237°,10 m,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,10,na,na,na,na,na,muscle,
CWC0292,na,May 2015,PS5,29.449130°,-89.749237°,10 m,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,10,na,na,na,na,na,muscle,
CWC0293,na,May 2015,PS5,29.449130°,-89.749237°,10 m,na,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,10,na,na,na,na,na,muscle,
CWC0294,na,May 2015,PS7,29.474614°,-89.855600°,edge,Gill net,"Fish, piscivorous",Pisc. fish,Bull Shark,Carcharhinus leucas,1,1110,na,na,na,M,muscle and stomach,"found dead, vacuumed seal fin clip + muscle"
CWC0295,na,May 2015,PS7,29.474614°,-89.855600°,edge,Gill net,"Fish, piscivorous",Pisc. fish,Bull Shark,Carcharhinus leucas,1,1137,na,na,na,M,muscle and stomach,found still alive
CWC0296,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,40,na,na,na,na,na,whole body,vacuum sealed
CWC0297,na,May 2015,PS5,29.449130°,-89.749237°,10 m,na,UNKNOWN,UNK,Snails (assorted),na,na,na,na,na,na,na,whole body,vacuum sealed
CWC0298,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Shrimp, grass",Grass shrimp,Grass shrimp,Palaemonetes pugio,30,na,na,na,na,na,whole body,vacuum sealed
CWC0299,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Shrimp, grass",Grass shrimp,Grass shrimp,Palaemonetes pugio,na,na,na,na,na,na,muscle,
CWC0301,na,May 2015,PS7,29.474614°,-89.855600°,creek,na,"Crabs, blue",Blue crabs,Blue crab,Callinectes sapidus,1,na,na,61,na,na,whole body,vacuum sealed remains
